Kode Variabel,Label,label_english,aggregate by ,
R101N,NAMA PROVINSI,Province name,NA,
R102N,NAMA KABUPATEN/KOTA,Regency/city name,NA,
R103N,NAMA KECAMATAN,Sub -district name,NA,
R104N,NAMA DESA/KELURAHAN,Village/kelurahan name,NA,
R107A,STATUS DEFINITIF DESA DAN OPERASIONAL DESA/KELURAHAN: ADA WILAYAH DESA/KELURAHAN DENGAN BATAS YANG JELAS,Village Definitive Status and Village/Kelurahan Operations: There is a village/kelurahan area with a clear boundary,mode,
R107B,STATUS DEFINITIF DESA DAN OPERASIONAL DESA/KELURAHAN: ADA PENDUDUK YANG MENETAP DI WILAYAH DESA/KELURAHAN,Village Definitive Status and Village/Kelurahan Operations: There are residents who settled in the village/kelurahan area,mode,
R107C,STATUS DEFINITIF DESA DAN OPERASIONAL DESA/KELURAHAN: ADA PEMERINTAH DESA/KELURAHAN,Village Definitive Status and Village/Kelurahan Operations: There is a Village/Kelurahan Government,mode,
R301,STATUS PEMERINTAHAN,Government status,mode,
R302A,BADAN PERMUSYAWARATAN DESA/LEMBAGA MUSYAWARAH KELURAHAN,Village Consultative Body/Village Deliberation Institution,mode,
R302B,JUMLAH KEGIATAN MUSYAWARAH DESA/KELURAHAN YANG DILAKUKAN SELAMA TAHUN 2019,The number of village/kelurahan deliberations carried out during 2019,sum,
R303,PETA DESA/KELURAHAN YANG DITETAPKAN DALAM PERATURAN BUPATI/WALIKOTA ATAU GUBERNUR,Map of the village/kelurahan stipulated in the Regent/Mayor Regulation or Governor,mode,
R501A1,JUMLAH KELUARGA PENGGUNA LISTRIK PLN,Number of families of PLN electricity users,sum,
R501A2,JUMLAH KELUARGA PENGGUNA LISTRIK NON PLN,Number of Non PLN Electric User Families,sum,
R501B,JUMLAH KELUARGA BUKAN PENGGUNA LISTRIK,Number of Families Non -Electric User,sum,
R502A,PENERANGAN DI JALAN UTAMA DESA/KELURAHAN,Lighting on the main road/kelurahan road,mode,Not doing proportion as It has more than 2 classes
R502B,"JIKA ADA PENERANGAN DI JALAN UTAMA DESA/KELURAHAN (R402A BERKODE 1 ATAU 2), JENIS PENERANGAN","If there is lighting on the main road of the village/kelurahan (R402A coded 1 or 2), the type of lighting",mode,Not doing proportion as It has more than 2 classes
R503A1,BAHAN BAKAR UNTUK MEMASAK YANG DIGUNAKAN OLEH KELUARGA: GAS KOTA,Fuel for cooking used by families: city gas,mode,since it has multiple classes and is mutually exlusive 
R503A2,BAHAN BAKAR UNTUK MEMASAK YANG DIGUNAKAN OLEH KELUARGA: LPG 3 KG,Fuel for cooking used by family: LPG 3 kg,mode,since it has multiple classes and is mutually exlusive 
R503A3,BAHAN BAKAR UNTUK MEMASAK YANG DIGUNAKAN OLEH KELUARGA: LPG LEBIH DARI 3 KG,Fuel for cooking used by the family: LPG is more than 3 kg,mode,since it has multiple classes and is mutually exlusive 
R503A4,BAHAN BAKAR UNTUK MEMASAK YANG DIGUNAKAN OLEH KELUARGA: MINYAK TANAH,Fuel for cooking used by the family: kerosene,mode,since it has multiple classes and is mutually exlusive 
R503A5,BAHAN BAKAR UNTUK MEMASAK YANG DIGUNAKAN OLEH KELUARGA: KAYU BAKAR,Fuel for cooking used by the family: firewood,mode,since it has multiple classes and is mutually exlusive 
R503A6,BAHAN BAKAR UNTUK MEMASAK YANG DIGUNAKAN OLEH KELUARGA: LAINNYA,Fuel for cooking used by the family: Others,mode,since it has multiple classes and is mutually exlusive 
R503B,BAHAN BAKAR UNTUK MEMASAK SEBAGIAN BESAR KELUARGA:,Fuel for cooking most families:,mode,since it has multiple classes and is mutually exlusive 
R504A1,"TEMPAT BUANG SAMPAH KELUARGA: TEMPAT SAMPAH, KEMUDIAN DIANGKUT","Family trash throwing place: trash can, then transported",mode,
R504A2,TEMPAT BUANG SAMPAH KELUARGA: DALAM LUBANG ATAU DIBAKAR,Family garbage container: in a hole or burned,mode,
R504A3,TEMPAT BUANG SAMPAH KELUARGA: SUNGAI/SALURAN IRIGASI/DANAU/LAUT,Family Garbage Place: River/Irrigation Channel/Lake/Sea,mode,
R504A4,TEMPAT BUANG SAMPAH KELUARGA: DRAINASE (GOT/SELOKAN),Family garbage places: drainage (sewers/gutters),mode,
R504A5,TEMPAT BUANG SAMPAH KELUARGA: LAINNYA,Family Trash Place: Others,mode,
R504B,TEMPAT BUANG SAMPAH SEBAGIAN BESAR KELUARGA,Place to throw garbage most of the families,mode,
R504C,TEMPAT PEMBUANGAN SAMPAH SEMENTARA (TPS),Temporary landfill (TPS),mode,
R505,KEBERADAAN BANK SAMPAH DI DESA/KELURAHAN,The existence of a garbage bank in the village/kelurahan,proportion,since proportion will give us more meaningful information after aggregation
R506,"KEGIATAN PENGOLAHAN SAMPAH: PENGOLAHAN/DAUR ULANG SAMPAH/LIMBAH (REUSE, RECYCLE) SELAMA SETAHUN TERAKHIR","Waste Management Activities: Processing/Recycling of Waste/Waste (Reuse, Recycle) for the past year",mode,
R507A,PENGGUNAAN FASILITAS BUANG AIR BESAR SEBAGIAN BESAR KELUARGA DI DESA/KELURAHAN,The use of defecating facilities for most families in the village/kelurahan,mode,
R507B,TEMPAT PEMBUANGAN AKHIR TINJA SEBAGIAN BESAR KELUARGA,Final Disposal Sites Most Families,mode,
R508,SUMBER AIR UNTUK MINUM SEBAGIAN BESAR KELUARGA DI DESA/KELURAHAN BERASAL DARI,Water sources for drinking most families in the village/kelurahan come from,mode,
R509,SUMBER AIR UNTUK MANDI/CUCI SEBAGIAN BESAR KELUARGA BERASAL DARI,The source of water for bathing/washing most of the families comes from,mode,
R510,KEBERADAAN SUNGAI DI DESA/KELURAHAN,The existence of rivers in the village/kelurahan,proportion,
R511,JUMLAH EMBUNG DI DESA/KELURAHAN,The number of reservoirs in the village/kelurahan,sum,
R512A,"KEBERADAAN PERMUKIMAN KUMUH (SANITASI LINGKUNGAN BURUK, BANGUNAN PADAT, DAN SEBAGIAN BESAR TIDAK LAYAK HUNI) DI DESA/KELURAHAN","The existence of slums (poor environmental sanitation, dense buildings, and most unfit for habitation) in the village/kelurahan",proportion,
R512B1,JIKA ADA PERMUKIMAN KUMUH: JUMLAH LOKASI,If there is a slum: the number of locations,sum,
R512B2,JIKA ADA PERMUKIMAN KUMUH: JUMLAH BANGUNAN,If there is a slum: the number of buildings,sum,
R512B3,JIKA ADA PERMUKIMAN KUMUH: JUMLAH KELUARGA,If there is a slum: the number of families,sum,
R601AK2,JENIS/JENJANG PENDIDIKAN : POS PENDIDIKAN ANAK USIA DINI (PAUD) NEGERI,Type/Level of Education: State Early Childhood Education Post (PAUD),sum,
R601AK3,JENIS/JENJANG PENDIDIKAN : POS PENDIDIKAN ANAK USIA DINI (PAUD) SWASTA,Type/Level of Education: Private Early Childhood Education Post (PAUD),sum,
R601AK4,JARAK KE POS PENDIDIKAN ANAK USIA DINI (PAUD) (KM),Distance to Early Childhood Education Post (PAUD) (Km),mean,
R601AK5,KEMUDAHAN AKSES KE POS PENDIDIKAN ANAK USIA DINI (PAUD),Ease of access to Early Childhood Education Post (PAUD),mode,
R601BK2,JENIS/JENJANG PENDIDIKAN : TK NEGERI,Types/levels of education: TK Negeri,sum,
R601BK3,JENIS/JENJANG PENDIDIKAN : TK SWASTA,Type/level of education: private kindergarten,sum,
R601BK4,JARAK KE TK (KM),Distance to kindergarten (km),mean,
R601BK5,KEMUDAHAN AKSES KE TK,Ease of access to kindergarten,mode,
R601CK2,JENIS/JENJANG PENDIDIKAN : RA/BA NEGERI,Type/level of education: RA/BA Negeri,sum,
R601CK3,JENIS/JENJANG PENDIDIKAN : RA/BA SWASTA,Type/level of education: RA/BA Private,sum,
R601CK4,JARAK KE RA/BA (KM),Distance to ra/ba (km),mean,
R601CK5,KEMUDAHAN AKSES KE RA/BA,Ease of access to RA/BA,mode,
R601DK2,JENIS/JENJANG PENDIDIKAN : SD NEGERI,Type/level of education: SD Negeri,sum,
R601DK3,JENIS/JENJANG PENDIDIKAN : SD SWASTA,Type/level of education: private elementary school,sum,
R601DK4,JARAK KE SD (KM),Distance to SD (KM),mean,
R601DK5,KEMUDAHAN AKSES KE SD,Ease of access to SD,mode,
R601EK2,JENIS/JENJANG PENDIDIKAN : MI NEGERI,Type/level of education: MI Negeri,sum,
R601EK3,JENIS/JENJANG PENDIDIKAN : MI SWASTA,Types/levels of education: Private MI,sum,
R601EK4,JARAK KE MI (KM),Distance to mi (km),mean,
R601EK5,KEMUDAHAN AKSES KE MI,Ease of access to MI,mode,
R601FK2,JENIS/JENJANG PENDIDIKAN : SMP NEGERI,Type/level of education: SMP Negeri,sum,
R601FK3,JENIS/JENJANG PENDIDIKAN : SMP SWASTA,Type/level of education: private junior high school,sum,
R601FK4,JARAK KE SMP (KM),Distance to junior high school (km),mean,
R601FK5,KEMUDAHAN AKSES KE SMP,Ease of access to junior high school,mode,
R601GK2,JENIS/JENJANG PENDIDIKAN : MTS NEGERI,Type/Level of Education: MTs Negeri,sum,
R601GK3,JENIS/JENJANG PENDIDIKAN : MTS SWASTA,Type/Level of Education: Private MTs,sum,
